label,class,BSI_month1,BSI_month2,BSI_month3,BSI_trend,BSI_consistency,BSI_variance,NDVI_trend,NDBI_month1,NDBI_month2,NDBI_month3,NDBI_trend,MNDWI_min,VV_month1,VV_month2,VV_month3,VV_trend,VV_consistency,VH_VV_ratio_change,VV_VH_diff_month1,VV_VH_diff_month3,VV_VH_diff_trend
1,construction,0.05367420693347611,0.03852670349907919,0.0370533421380879,-0.016620864795388213,0.0370533421380879,-0.0068370710367028145,0.01584729366004467,-0.024390242993831635,-0.051392704248428345,-0.07054050266742706,-0.04615025967359543,-0.136978879570961,-0.4271074104857726,3.109859000492232,3.927267208934353,4.354374619420126,3.927267208934353,-43.65582921193693,16.47087225142625,19.9978743354749,3.5270020840486502
1,construction,0.11288343558282209,0.10252910477719791,0.13882635449497224,0.025942918912150156,0.10252910477719791,-0.023325790261699245,0.03478602319955826,0.06977851688861847,0.04511553794145584,0.06622981280088425,-0.003548703622072935,-0.33372920751571655,-5.323978369102832,-2.5975668043217532,-11.244985359122845,-5.921006990020013,-2.5975668043217532,-1.7572052990931968,12.76951429563232,7.211248514446014,-5.558265781186305
1,construction,0.1296943231441048,0.1082945432112613,0.14159951242635607,0.01190518928225126,0.1082945432112613,-0.02735237457396915,-0.018406985327601433,0.07165326923131943,0.027790188789367676,0.07025884836912155,-0.0013944196980446577,-0.2939072549343109,-9.745361247285652,-7.180544140812235,-7.5562644925893085,2.189096754696344,-7.180544140812235,0.6358642354108321,5.0709004793871895,8.736584396103181,3.6656839167159916
1,construction,0.07881462799495587,0.053762330217424985,0.14462462462462464,0.06580999662966877,0.053762330217424985,-0.05795729609236527,0.005169366020709276,-0.005470459349453449,-0.012805587612092495,0.09735744446516037,0.10282789915800095,-0.2700931429862976,-0.986793543516041,-0.4467829124127652,-3.4956978498164695,-2.5089043063004284,-0.4467829124127652,-12.61279047858655,15.748092705272308,11.696822154916703,-4.051270550355605
1,construction,0.1449112558975511,0.12702718996804727,0.1368365944637131,-0.008074661433838004,0.12702718996804727,-0.013846735212584838,-0.03852513059973717,0.11167512834072113,0.091032475233078,0.09648852050304413,-0.015186608768999577,-0.31003937125205994,-8.253180035761597,-6.1730924440656,-6.9709991822656905,1.2821808534959063,-6.1730924440656,0.3433228078312043,6.741115225843043,8.087145691865071,1.3460304660220288
1,construction,0.18452975595832738,0.119341046277666,0.13497251952560024,-0.049557236432727136,0.119341046277666,-0.04041009146429782,0.06364812701940536,0.1339101791381836,0.020314734429121017,0.029245028272271156,-0.10466514527797699,-0.4438614845275879,-6.843981680733997,-5.609412330510459,-11.544130348776205,-4.700148668042209,-5.609412330510459,-0.3546186602058201,10.897419368073294,14.287528537300988,3.390109169227694
1,construction,0.19596240863209188,0.20247386246502724,0.28469131023804917,0.08872890160595728,0.19596240863209188,-0.037852996970043296,0.05525517091155052,0.1985989511013031,0.23776386678218842,0.35395190119743347,0.15535293519496918,-0.4816671907901764,-7.087269853232793,-8.591744657960612,-6.716231623581775,0.37103822965101774,-6.716231623581775,0.36415068158639596,6.506955805439399,8.612018948807117,2.105063143367718
1,construction,0.09378607809847199,0.10051527687060019,0.12262468005894671,0.02883860196047472,0.09378607809847199,-0.007690102208109159,0.05546491593122482,0.05561723932623863,0.05448613315820694,0.07182320207357407,0.016205964609980583,-0.35694822669029236,-5.56720659768611,-7.605788345814183,-7.989607205855275,-2.4224006081691654,-5.56720659768611,-0.28960587634116397,6.083280949516301,6.416398417505501,0.33311746798919994
1,construction,0.17459086325913287,0.1279960053262317,0.181918856337461,0.007327993078328127,0.1279960053262317,-0.05025885447206521,-0.003775316523388028,0.19381986558437347,0.11342717707157135,0.181788831949234,-0.012031043879687786,-0.35958394408226013,-11.243164666854707,-9.05924142167657,-10.50500384184183,0.7381608250128764,-9.05924142167657,-0.163211155926565,4.4312986017575575,2.4258314788019675,-2.00546712295559
1,construction,0.11652983702977576,0.09457629534601952,0.11736062804332704,0.0008307910135512825,0.09457629534601952,-0.022368937190531873,-0.11262144893407822,0.1089649349451065,0.04244000464677811,-0.014483915641903877,-0.12344885617494583,-0.4156811237335205,-5.694539998021742,-5.6078468369678385,-5.679925187671228,0.014614810350514595,-5.6078468369678385,-1.199658181843571,9.537705797322058,2.699258931196888,-6.83844686612517
